id,citation_counts
1601.00057,10
1601.00076,52
1601.00127,3
1601.00134,16
1601.00136,5
1601.00148,0
1601.00171,2
1601.00203,0
1601.00231,28
1601.00235,16
1601.00276,0
1601.00303,26
1601.00418,7
1601.00450,23
1601.00475,0
1601.00482,15
1601.00525,7
1601.00528,34
1601.00540,12
1601.00601,14
1601.00622,13
1601.00647,40
1601.00676,8
1601.00678,18
1601.00725,5
1601.00752,14
1601.00860,1
1601.00921,574
1601.00980,23
1601.01160,51
1601.01172,4
1601.01176,4
1601.01179,14
1601.01287,25
1601.01310,58
1601.01329,11
1601.01406,4
1601.01430,14
1601.01583,55
1601.01627,15
1601.01677,1
1601.01694,317
1601.01784,12
1601.01800,133
1601.01827,20
1601.01898,21
1601.01906,2
1601.01918,86
1601.01943,0
1601.01945,0
1601.01946,1
1601.01947,1
1601.01960,51
1601.02008,17
1601.02015,51
1601.02025,2
1601.02077,45
1601.02125,26
1601.02152,79
1601.02175,10
1601.02180,6
1601.02203,20
1601.02253,5
1601.02366,9
1601.02449,3
1601.02462,4
1601.02468,2
1601.02486,3
1601.02531,5
1601.02599,13
1601.02633,26
1601.02634,32
1601.02639,21
1601.02660,4
1601.02728,21
1601.02757,90
1601.02824,13
1601.02836,11
1601.02883,181
1601.02936,8
1601.02979,16
1601.03011,50
1601.03023,3
1601.03028,2
1601.03029,6
1601.03046,12
1601.03048,10
1601.03066,20
1601.03109,5
1601.03188,63
1601.03215,17
1601.03222,12
1601.03274,14
1601.03298,25
1601.03356,10
1601.03384,97
1601.03397,21
1601.03409,27
1601.03414,85
1601.03457,25
1601.03476,68
1601.03488,5
1601.03561,11
1601.03600,7
1601.03616,51
1601.03725,77
1601.03777,18
1601.03808,25
1601.03813,10
1601.03846,25
1601.03865,4
1601.03918,10
1601.03953,5
1601.03964,14
1601.03974,42
1601.04020,57
1601.04030,9
1601.04046,15
1601.04068,92
1601.04072,22
1601.04078,59
1601.04087,1
1601.04140,5
1601.04199,41
1601.04232,5
1601.04260,15
1601.04281,10
1601.04399,4
1601.04403,16
1601.04432,0
1601.04457,9
1601.04515,11
1601.04523,18
1601.04561,4
1601.04564,6
1601.04597,78
1601.04624,60
1601.04658,119
1601.04663,27
1601.04676,4
1601.04708,42
1601.04716,1
1601.04720,8
1601.04723,13
1601.04732,17
1601.04744,234
1601.04758,2
1601.04760,3
1601.04784,8
1601.04914,199
1601.04934,0
1601.04944,14
1601.04957,56
1601.04958,86
1601.04966,2
1601.05000,233
1601.05021,9
1601.05024,25
1601.05096,15
1601.05294,8
1601.05325,72
1601.05378,82
1601.05405,57
1601.05412,35
1601.05415,9
1601.05416,342
1601.05429,17
1601.05453,50
1601.05457,37
1601.05475,4
1601.05589,18
1601.05611,5
1601.05625,1
1601.05628,2
1601.05649,2
1601.05679,62
1601.05703,15
1601.05719,5
1601.05805,64
1601.05817,12
1601.05827,10
1601.05852,14
1601.05864,41
1601.06004,6
1601.06046,31
1601.06086,23
1601.06145,11
1601.06164,59
1601.06228,21
1601.06277,6
1601.06293,0
1601.06304,1
1601.06305,24
1601.06360,9
1601.06418,43
1601.06443,30
1601.06470,2
1601.06561,11
1601.06566,26
1601.06577,5
1601.06612,17
1601.06645,13
1601.06662,18
1601.06667,11
1601.06696,7
1601.06700,14
1601.06746,3
1601.06768,470
1601.06788,188
1601.06794,53
1601.06795,30
1601.06803,23
1601.06804,21
1601.06841,45
1601.06851,44
1601.06910,6
1601.06914,22
1601.06926,15
1601.06989,10
1601.07006,7
1601.07031,17
1601.07055,1
1601.07118,11
1601.07198,48
1601.07218,3
1601.07246,6
1601.07353,16
1601.07467,0
1601.07511,1
1601.07530,3
1601.07558,29
1601.07561,11
1601.07571,11
1601.07584,11
1601.07610,7
1601.07616,8
1601.07749,31
1601.07756,9
1601.07757,1
1601.07784,14
1601.07791,1
1601.07825,1
1601.07840,4
1601.07875,4
1601.07882,14
1601.07897,54
1601.07904,57
1601.07954,31
1601.08007,20
1601.08113,40
1601.08120,5
1601.08181,104
1601.08192,63
1601.08209,11
1601.08211,63
1601.08213,7
1601.08215,0
1601.08218,2
1601.08223,6
1601.08238,19
1602.00059,4
1602.00111,3
1602.00115,3
1602.00130,13
1602.00273,11
1602.00278,0
1602.00308,23
1602.00337,4
1602.00556,16
1602.00607,2
1602.00632,3
1602.00662,6
1602.00679,8
1602.00699,26
1602.00704,28
1602.00720,31
1602.00735,36
1602.00788,0
1602.00908,4
1602.00916,19
1602.00936,3
1602.00948,19
1602.00964,0
1602.01018,7
1602.01022,24
1602.01067,57
1602.01076,52
1602.01078,26
1602.01101,11
1602.01102,31
1602.01147,38
1602.01190,23
1602.01209,19
1602.01217,134
1602.01292,6
1602.01333,14
1602.01334,33
1602.01359,0
1602.01375,22
1602.01380,22
1602.01382,14
1602.01470,21
1602.01473,32
1602.01475,6
1602.01479,7
1602.01487,6
1602.01488,11
1602.01503,57
1602.01508,12
1602.01527,17
1602.01640,13
1602.01674,46
1602.01678,10
1602.01682,19
1602.01780,2
1602.01798,31
1602.01833,32
1602.01834,38
1602.01858,73
1602.01962,24
1602.02003,11
1602.02038,40
1602.02039,26
1602.02107,12
1602.02158,37
1602.02166,7
1602.02179,10
1602.02240,3
1602.02254,13
1602.02259,10
1602.02295,10
1602.02309,2
1602.02319,1
1602.02421,82
1602.02441,19
1602.02487,16
1602.02520,3
1602.02526,7
1602.02567,18
1602.02570,5
1602.02582,42
1602.02583,34
1602.02636,15
1602.02647,3
1602.02653,33
1602.02764,73
1602.02772,10
1602.02802,30
1602.02810,42
1602.02838,53
1602.02878,1
1602.02936,3
1602.02962,42
1602.03007,38
1602.03082,31
1602.03119,257
1602.03173,11
1602.03175,10
1602.03270,21
1602.03314,0
1602.03327,8
1602.03376,24
1602.03410,177
1602.03428,8
1602.03520,58
1602.03521,28
1602.03529,24
1602.03530,19
1602.03535,15
1602.03673,4
1602.03708,1
1602.03711,23
1602.03721,36
1602.03750,11
1602.03824,8
1602.03870,12
1602.03875,3
1602.03890,25
1602.03893,27
1602.03916,1
1602.03952,16
1602.03970,6
1602.04116,4
1602.04221,38
1602.04264,1
1602.04441,23
1602.04446,14
1602.04566,7
1602.04634,6
1602.04636,4
1602.04673,2
1602.04724,1
1602.04761,8
1602.04765,5
1602.04811,26
1602.04817,20
1602.04825,11
1602.04829,6
1602.04911,7
1602.04926,32
1602.04928,41
1602.05026,0
1602.05060,3
1602.05126,17
1602.05196,32
1602.05283,1
1602.05302,91
1602.05326,8
1602.05336,12
1602.05415,4
1602.05545,16
1602.05593,9
1602.05599,34
1602.05613,9
1602.05631,3
1602.05675,4
1602.05730,2
1602.05735,4
1602.05752,56
1602.05788,3
1602.05794,27
1602.05817,48
1602.05859,8
1602.05871,20
1602.05934,40
1602.05943,8
1602.05959,38
1602.05971,94
1602.06024,60
1602.06062,5
1602.06086,3
1602.06106,32
1602.06210,4
1602.06233,5
1602.06279,3
1602.06290,26
1602.06303,29
1602.06354,66
1602.06393,7
1602.06419,47
1602.06422,37
1602.06505,12
1602.06511,5
1602.06517,113
1602.06542,57
1602.06543,45
1602.06556,38
1602.06557,13
1602.06600,8
1602.06704,6
1602.06756,3
1602.06786,10
1602.06878,3
1602.06930,10
1602.06962,21
1602.07003,9
1602.07097,26
1602.07159,45
1602.07177,14
1602.07178,22
1602.07211,18
1602.07245,32
1602.07263,8
1602.07269,21
1602.07287,48
1602.07307,20
1602.07310,43
1602.07345,11
1602.07353,58
1602.07441,2
1602.07476,4
1602.07653,2
1602.07673,16
1602.07693,8
1602.07705,13
1602.07706,29
1602.07712,19
1602.07752,8
1602.07818,18
1602.07867,38
1602.07903,10
1602.07934,4
1602.07975,24
1602.07982,287
1602.08020,20
1602.08061,8
1602.08097,0
1602.08152,13
1602.08267,55
1602.08272,123
1602.08275,5
1602.08289,2
1602.08475,58
1602.08476,18
1602.08493,42
1602.08547,32
1602.08566,24
1602.08570,28
1602.08589,1
1602.08606,2
1602.08638,90
1602.08661,6
1602.08676,3
1602.08697,64
1602.08718,1
1602.08720,0
1602.08733,2
1602.08804,2
1602.08882,1
1602.08911,1
1602.08923,0
1602.08993,29
1602.09021,20
1602.09057,19
1602.09084,6
1602.09089,15
1602.09090,3
1602.09091,0
1603.00022,111
1603.00039,12
1603.00062,37
1603.00067,1
1603.00088,15
1603.00116,12
1603.00117,1
1603.00177,0
1603.00184,14
1603.00218,5
1603.00274,3
1603.00304,44
1603.00308,15
1603.00350,4
1603.00357,18
1603.00364,1
1603.00387,14
1603.00396,7
1603.00433,1
1603.00447,3
1603.00453,57
1603.00538,29
1603.00541,21
1603.00602,40
1603.00615,24
1603.00654,13
1603.00678,4
1603.00719,6
1603.00724,2
1603.00826,28
1603.00839,56
1603.00851,23
1603.00864,19
1603.00887,45
1603.00924,18
1603.00969,4
1603.01092,12
1603.01093,6
1603.01105,6
1603.01145,15
1603.01148,8
1603.01149,7
1603.01154,0
1603.01174,52
1603.01254,73
1603.01259,39
1603.01269,41
1603.01274,27
1603.01290,10
1603.01294,9
1603.01305,2
1603.01332,0
1603.01405,4
1603.01515,28
1603.01528,3
1603.01540,3
1603.01558,10
1603.01628,12
1603.01639,23
1603.01724,3
1603.01738,1
1603.01825,5
1603.01838,0
1603.01858,4
1603.01888,2
1603.01948,2
1603.01995,27
1603.02033,32
1603.02076,19
1603.02085,8
1603.02136,3
1603.02159,1
1603.02165,6
1603.02251,10
1603.02283,7
1603.02289,14
1603.02359,3
1603.02442,24
1603.02530,7
1603.02543,6
1603.02557,13
1603.02583,5
1603.02586,4
1603.02588,42
1603.02624,16
1603.02628,9
1603.02653,63
1603.02661,25
1603.02670,12
1603.02677,0
1603.02678,11
1603.02768,14
1603.02795,2
1603.02805,4
1603.02812,33
1603.02860,3
1603.02878,1
1603.02903,10
1603.02939,5
1603.02956,25
1603.03020,75
1603.03029,36
1603.03044,4
1603.03050,8
1603.03055,17
1603.03057,55
1603.03074,0
1603.03095,3
1603.03164,22
1603.03212,19
1603.03213,2
1603.03270,5
1603.03291,9
1603.03338,5
1603.03382,4
1603.03416,61
1603.03423,10
1603.03425,6
1603.03440,46
1603.03442,51
1603.03462,18
1603.03504,19
1603.03596,1
1603.03598,8
1603.03620,24
1603.03689,13
1603.03760,17
1603.03771,121
1603.03782,0
1603.03812,56
1603.03990,1
1603.04061,0
1603.04078,22
1603.04101,3
1603.04124,18
1603.04137,9
1603.04165,57
1603.04213,4
1603.04216,0
1603.04255,0
1603.04289,49
1603.04347,36
1603.04369,3
1603.04426,13
1603.04436,282
1603.04440,63
1603.04444,67
1603.04454,13
1603.04458,1
1603.04470,2
1603.04471,38
1603.04485,19
1603.04504,7
1603.04526,1
1603.04668,31
1603.04684,20
1603.04688,14
1603.04772,77
1603.04790,34
1603.04793,0
1603.04801,35
1603.04824,129
1603.04856,124
1603.05061,1
1603.05150,30
1603.05169,18
1603.05195,4
1603.05196,6
1603.05199,3
1603.05228,5
1603.05245,3
1603.05250,50
1603.05258,21
1603.05262,25
1603.05272,38
1603.05323,1
1603.05344,80
1603.05387,35
1603.05467,81
1603.05488,0
1603.05501,9
1603.05511,1
1603.05551,78
1603.05552,64
1603.05571,6
1603.05582,46
1603.05665,66
1603.05678,25
1603.05713,23
1603.05737,151
1603.05822,24
1603.05830,42
1603.05834,295
1603.05845,0
1603.05929,2
1603.05935,6
1603.05950,46
1603.05983,83
1603.06058,12
1603.06168,1
1603.06172,31
1603.06207,33
1603.06218,4
1603.06231,23
1603.06246,216
1603.06264,2
1603.06273,40
1603.06279,17
1603.06292,74
1603.06302,0
1603.06310,3
1603.06341,8
1603.06402,4
1603.06411,2
1603.06414,5
1603.06453,8
1603.06576,24
1603.06579,15
1603.06631,5
1603.06671,8
1603.06726,44
1603.06770,6
1603.06789,56
1603.06799,5
1603.06800,27
1603.06811,18
1603.06935,15
1603.06959,1
1603.06969,37
1603.07098,0
1603.07101,1
1603.07103,12
1603.07148,15
1603.07166,26
1603.07176,25
1603.07250,21
1603.07307,35
1603.07311,4
1603.07317,53
1603.07330,18
1603.07362,12
1603.07367,20
1603.07380,33
1603.07434,2
1603.07495,3
1603.07514,64
1603.07569,3
1603.07582,26
1603.07629,7
1603.07670,9
1603.07679,19
1603.07691,6
1603.07706,22
1603.07724,35
1603.07795,0
1603.07845,6
1603.07858,10
1603.07862,27
1603.07929,12
1603.07976,7
1603.07982,13
1603.07993,31
1603.08004,6
1603.08058,19
1603.08084,0
1603.08104,2
1603.08117,5
1603.08158,14
1603.08178,3
1603.08256,6
1603.08259,6
1603.08306,6
1603.08313,1
1603.08337,9
1603.08382,81
1603.08429,28
1603.08440,37
1603.08478,14
1603.08509,17
1603.08510,175
1603.08524,23
1603.08531,0
1603.08545,14
1603.08550,11
1603.08558,0
1603.08611,4
1603.08624,4
1603.08749,8
1603.08770,16
1603.08859,9
1603.08864,45
1603.08925,117
1603.08935,3
1603.08939,37
1603.08971,3
1603.08994,6
1603.09063,2
1603.09107,8
1603.09108,2
1603.09122,14
1603.09146,10
1603.09183,11
1603.09198,5
1603.09211,9
1603.09244,9
1603.09248,6
1603.09264,3
1603.09268,2
1603.09298,197
1603.09299,3
1603.09317,8
1603.09323,1
1603.09336,3
1603.09346,4
1603.09355,133
1603.09361,27
1603.09371,0
1603.09424,37
1603.09467,4
1603.09534,14
1603.09541,1
1603.09542,2
1603.09543,21
1603.09575,0
1603.09625,4
1603.09634,10
1603.09729,11
1603.09731,56
1603.09745,65
1604.00011,27
1604.00012,35
1604.00026,10
1604.00027,14
1604.00078,14
1604.00156,6
1604.00213,7
1604.00324,17
1604.00354,141
1604.00370,91
1604.00383,17
1604.00388,18
1604.00390,21
1604.00395,6
1604.00418,4
1604.00444,48
1604.00465,7
1604.00488,8
1604.00595,15
1604.00620,7
1604.00650,15
1604.00674,11
1604.00687,28
1604.00694,2
1604.00703,7
1604.00722,16
1604.00756,8
1604.00810,13
1604.00839,26
1604.00847,17
1604.00891,26
1604.00897,0
1604.00904,3
1604.00965,14
1604.01003,7
1604.01015,1
1604.01030,31
1604.01158,1
1604.01181,8
1604.01240,1
1604.01266,9
1604.01271,6
1604.01346,35
1604.01353,1
1604.01379,14
1604.01440,27
1604.01535,4
1604.01556,0
1604.01561,25
1604.01639,24
1604.01669,2
1604.01676,1
1604.01690,34
1604.01709,5
1604.01717,7
1604.01719,54
1604.01754,116
1604.01766,38
1604.01772,33
1604.01774,36
1604.01782,13
1604.01783,76
1604.01888,9
1604.01893,12
1604.01897,24
1604.02041,105
1604.02091,9
1604.02110,21
1604.02120,3
1604.02121,35
1604.02138,12
1604.02155,65
1604.02346,20
1604.02384,3
1604.02470,3
1604.02579,6
1604.02589,43
1604.02667,3
1604.02687,31
1604.02745,62
1604.02779,17
1604.02811,4
1604.02816,0
1604.02834,55
1604.02841,1
1604.02886,7
1604.02915,22
1604.02973,18
1604.02995,11
1604.03027,8
1604.03046,32
1604.03065,4
1604.03095,26
1604.03110,189
1604.03117,8
1604.03120,17
1604.03122,91
1604.03127,101
1604.03229,17
1604.03253,23
1604.03355,34
1604.03397,68
1604.03479,44
1604.03484,0
1604.03514,9
1604.03552,8
1604.03560,41
1604.03561,34
1604.03574,7
1604.03575,37
1604.03580,16
1604.03606,18
1604.03644,11
1604.03665,7
1604.03669,19
1604.03696,2
1604.03701,0
1604.03705,9
1604.03710,0
1604.03730,16
1604.03739,7
1604.03772,11
1604.03847,17
1604.03893,103
1604.03944,25
